page,staff,system,staffgroup,num_ins,ens,ins1,part1,tone1,ins2,part2,tone2,ins3,part3,tone3,ocr,page_norm,family
020,1,1,1,,,clarinet,,B flat,,,,,,,Cl. (B),020,Woodwind
020,2,1,1,,,bassoon,,,,,,,,,Fg.,020,Woodwind
020,3,1,2,,,violin,1,,,,,,,,I,020,Strings
020,4,1,2,,,violin,2,,,,,,,,Vl.,020,Strings
020,5,1,2,,,viola,,,,,,,,,II,020,Strings
020,6,1,2,2,,cello,,,bass,,,,,,Vlc. e Cb.,020,Strings
020,7,2,3,,,clarinet,,B flat,,,,,,,Cl. (B),020,Woodwind
020,8,2,3,,,bassoon,,,,,,,,,Fg.,020,Woodwind
020,9,2,4,,,violin,1,,,,,,,,I,020,Strings
020,10,2,4,,,violin,2,,,,,,,,Vl.,020,Strings
020,11,2,4,,,viola,,,,,,,,,II,020,Strings
020,12,2,4,2,,cello,,,bass,,,,,,Vlc. e Cb.,020,Strings
020,13,3,5,,,clarinet,,B flat,,,,,,,Cl. (B),020,Woodwind
020,14,3,5,,,bassoon,,,,,,,,,Fg.,020,Woodwind
020,15,3,6,,,violin,1,,,,,,,,I,020,Strings
020,16,3,6,,,violin,2,,,,,,,,Vl.,020,Strings
020,17,3,6,,,viola,,,,,,,,,II,020,Strings
020,18,3,6,2,,cello,,,bass,,,,,,Vlc. e Cb.,020,Strings
